,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
357062388,12.11111111111111,6.555555555555555,10.222222222222221,16.555555555555557,547.6666666666666,635.4444444444445,25196.666666666668,0.0,318.44444444444446,1.0,0.0,83.0,1.0,5.74060216,25384.0,22.0,568.0,22.0,2207.0,5.0,0.0,1.0,6.0,4.0,133.0,2.0,180145.0,896.0,5.0,129.4674565,4.0,0.0,1.0,7.057510557007842,93.0,1394.0
357225078,3.3333333333333335,8.166666666666666,11.833333333333334,0.8333333333333334,278.8333333333333,338.1666666666667,11256.333333333334,1261.1666666666667,45.333333333333336,0.0,30.0,33.0,29.0,2.9465686399999997,4817.0,3.0,84.0,3.0,164.0,0.0,0.0,0.0,8.0,6.0,3.0,14.0,47380.0,525.0,0.0,156.806402,3.0,21.0,4.0,1.944902473356123,39.0,1022.0
357253678,3.41025641025641,6.0,11.948717948717949,4.230769230769231,278.0769230769231,321.4871794871795,10651.153846153846,1042.1538461538462,68.58974358974359,9.0,178.0,310.0,206.0,25.49095159000001,30514.0,11.0,691.0,11.0,1891.0,2.0,0.0,1.0,34.0,20.0,45.0,68.0,353605.0,3222.0,2.0,1017.1132182,9.0,135.0,117.0,14.690931027548759,341.0,10559.0
357647753,2.4166666666666665,6.666666666666667,5.166666666666667,5.166666666666667,239.0,249.41666666666666,7298.5,1202.5833333333333,49.833333333333336,1.0,98.0,25.0,85.0,6.515119800000001,3359.0,2.0,147.0,2.0,441.0,0.0,0.0,0.0,19.0,20.0,9.0,7.0,73690.0,446.0,0.0,188.212719,4.0,57.0,40.0,4.502513573295797,72.0,1840.0
357775634,11.8,2.8,6.2,25.6,595.6,586.0,24909.4,0.0,247.2,0.0,1.0,22.0,0.0,2.60416267,30564.0,13.0,418.0,13.0,863.0,2.0,0.0,0.0,1.0,1.0,90.0,3.0,92040.0,312.0,2.0,71.28542050000001,2.0,1.0,0.0,3.7420068369193644,19.0,672.0
358102129,8.28,3.88,8.92,20.48,582.6,605.92,22088.08,874.52,287.28,3.0,1.0,133.0,2.0,10.64957483,64686.0,33.0,1436.0,29.0,3438.0,8.0,0.0,0.0,2.0,4.0,306.0,26.0,302890.0,1753.0,8.0,222.68220639999998,5.0,1.0,2.0,12.583551176352303,127.0,2943.0
358103508,9.833333333333334,6.666666666666667,9.0,24.0,606.0,672.6666666666666,28460.166666666668,7.333333333333333,326.6666666666667,1.0,0.0,29.0,1.0,3.47656039,21905.0,13.0,541.0,13.0,1432.0,4.0,10.0,0.0,2.0,6.0,187.0,15.0,128500.0,191.0,4.0,175.378782,4.0,0.0,1.0,4.18117836316107,41.0,1391.0
358697417,6.222222222222222,6.888888888888889,11.666666666666666,21.22222222222222,392.44444444444446,451.55555555555554,18814.333333333332,89.44444444444444,185.88888888888889,1.0,5.0,34.0,0.0,4.838562629999999,13881.0,6.0,471.0,6.0,1288.0,1.0,0.0,0.0,4.0,0.0,43.0,17.0,112995.0,120.0,1.0,99.680816,5.0,6.0,0.0,5.478182183792479,67.0,3132.0
358735410,3.8666666666666667,7.333333333333333,14.333333333333334,4.333333333333333,374.8,426.3333333333333,16585.133333333335,1714.0,155.6,2.0,77.0,122.0,74.0,8.892625989999999,20497.0,7.0,346.0,7.0,1956.0,0.0,0.0,0.0,9.0,2.0,3.0,33.0,213935.0,628.0,0.0,277.145415,8.0,28.0,36.0,7.052885582143575,159.0,2885.0
359068880,7.142857142857143,4.675324675324675,10.363636363636363,14.623376623376624,568.4935064935065,579.2207792207793,20263.402597402597,546.4935064935065,271.45454545454544,4.0,17.0,403.0,17.0,42.67321522999999,537335.0,238.0,7637.0,238.0,12898.0,36.0,19.0,1.0,39.0,47.0,1881.0,63.0,1467510.0,2742.0,36.0,868.5233376499999,25.0,17.0,11.0,52.90006032575911,579.0,17190.0
