,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
316233618,5.818181818181818,4.636363636363637,12.727272727272727,2.909090909090909,323.72727272727275,345.0,10205.727272727272,112.27272727272727,28.0,1.0,44.0,48.0,34.0,6.9420559200000005,6708.0,4.0,41.0,4.0,243.0,1.0,0.0,0.0,7.0,13.0,1.0,6.0,90635.0,341.0,1.0,238.59974900000003,4.0,26.0,5.0,4.540116629800925,68.0,1657.0
316484103,9.142857142857142,2.857142857142857,7.571428571428571,10.428571428571429,577.2857142857143,535.5714285714286,14639.0,122.14285714285714,193.85714285714286,1.0,0.0,26.0,0.0,1.7986111,6372.0,2.0,157.0,2.0,412.0,0.0,0.0,0.0,1.0,0.0,21.0,1.0,38760.0,123.0,0.0,28.380337,0.0,0.0,0.0,2.2803136939473156,16.0,983.0
316492285,6.2,2.0,16.8,1.2,323.0,391.2,13427.4,539.6,26.6,0.0,14.0,19.0,9.0,2.76281108,4383.0,2.0,8.0,2.0,91.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,32455.0,153.0,0.0,36.163246,1.0,7.0,4.0,2.0552986125075408,26.0,795.0
316734857,3.6666666666666665,9.5,14.833333333333334,2.5,305.6666666666667,394.5,14166.0,445.6666666666667,97.66666666666667,1.0,49.0,20.0,51.0,3.5220982999999997,1249.0,0.0,126.0,0.0,432.0,0.0,4.0,0.0,5.0,10.0,0.0,2.0,68430.0,410.0,0.0,327.002601,9.0,34.0,27.0,2.2079227830283528,74.0,1871.0
316770935,3.8,5.8,15.8,4.4,321.8,345.2,8994.2,349.4,41.8,2.0,37.0,18.0,37.0,2.75328063,2294.0,1.0,27.0,1.0,153.0,0.0,0.0,0.0,12.0,11.0,2.0,5.0,45790.0,204.0,0.0,115.610643,3.0,22.0,7.0,1.817011864065956,29.0,769.0
316861380,6.285714285714286,4.357142857142857,7.142857142857143,12.071428571428571,446.64285714285717,484.14285714285717,17051.14285714286,294.14285714285717,204.92857142857142,2.0,2.0,100.0,1.0,9.19072379,24378.0,15.0,748.0,15.0,2181.0,1.0,0.0,2.0,9.0,5.0,125.0,7.0,203930.0,1037.0,1.0,198.6249998,3.0,1.0,1.0,8.82304443997587,93.0,2255.0
317104851,8.142857142857142,5.285714285714286,10.428571428571429,17.142857142857142,475.85714285714283,517.1428571428571,21020.571428571428,435.7142857142857,259.57142857142856,2.0,0.0,30.0,0.0,4.30457883,19933.0,11.0,599.0,11.0,1187.0,3.0,0.0,0.0,3.0,4.0,84.0,3.0,118505.0,89.0,3.0,94.47309399999999,6.0,2.0,0.0,4.682485421274884,56.0,1163.0
317152551,5.166666666666667,6.0,7.166666666666667,11.166666666666666,411.8333333333333,443.0,19421.166666666668,62.5,146.0,0.0,2.0,17.0,0.0,4.04378887,14860.0,5.0,185.0,5.0,706.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,61635.0,156.0,1.0,51.95727599999999,2.0,2.0,0.0,4.253368188216368,36.0,906.0
317343565,6.2,7.2,11.4,10.4,410.95,479.2,17728.85,382.65,163.7,4.0,4.0,99.0,1.0,13.18585262,24734.0,23.0,909.0,23.0,2393.0,0.0,5.0,0.0,6.0,10.0,109.0,10.0,246245.0,198.0,0.0,594.3993780999999,16.0,4.0,1.0,13.951739392720691,164.0,4021.0
317465426,6.0,3.8,7.6,12.0,574.2,598.6,11741.8,0.0,236.0,1.0,2.0,36.0,0.0,3.0230411,15769.0,14.0,421.0,14.0,773.0,1.0,0.0,0.0,1.0,0.0,84.0,4.0,87670.0,312.0,1.0,63.386559000000005,2.0,2.0,0.0,3.9442992157651315,32.0,1148.0
