,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,n_matches
40144634,24,30,39,81,2102,2328,70178,0,958,5
40165949,372,275,736,668,29944,32411,1081657,19250,13650,59
40209325,1233,1261,2966,2162,112140,121910,4300106,176105,48791,254
40407024,85,49,106,84,4593,4505,192412,5892,1406,7
40547474,885,750,2326,1316,76816,85561,2527300,162758,27279,206
40586005,268,192,349,541,17348,19850,795810,30130,8230,36
40971196,45,72,144,31,2685,3370,122005,6106,435,8
41231571,1676,1614,4232,3418,140343,162636,5287413,220352,56055,342
41288955,236,487,1153,166,23103,27418,667991,212459,3906,87
41470731,131,278,599,38,13050,14731,391622,17303,2209,46
42274654,173,99,193,196,10542,11586,464591,876,5166,20
42506059,23,93,73,35,2954,3549,57713,15129,555,14
42829529,29,47,87,28,2465,2828,84554,4603,828,7
42989814,1176,637,1256,2194,76531,73876,3225700,53709,35008,140
42997039,206,168,632,106,14175,16688,506269,36993,2476,40
43192541,118,68,143,735,9330,9518,276255,10365,4567,18
43276219,2352,1500,3970,6257,209545,216463,7603292,138254,115602,396
43330518,104,190,457,69,7925,9866,266154,8931,1156,26
43401453,217,389,819,337,20201,23151,664738,106686,5323,69
43619695,1003,1340,3139,1570,91272,100503,3525810,243759,33693,240
43745696,36,75,186,19,3154,4483,113176,4451,506,11
44091424,15,43,74,31,1738,1996,54276,0,384,5
44232590,67,127,232,71,5497,7088,186345,25287,663,22
44276560,94,127,282,69,6692,8616,250500,472,1210,24
44405299,60,48,190,59,5714,6195,159766,0,1839,13
44544729,83,82,212,109,6348,6955,248166,31846,2465,16
45024897,89,66,113,149,4793,5054,223841,22500,2519,11
45100831,44,73,247,35,5052,6672,161638,10209,1068,19
45486232,105,151,222,218,8067,9386,314211,18893,3292,23
45614257,67,144,349,87,8162,9467,214031,78843,1526,24
45624612,29,85,170,50,4767,5197,113418,6709,1145,14
45995381,181,141,469,226,12068,13105,451091,13105,4553,32
46079083,29,49,104,30,2314,3191,143935,1063,670,6
47123324,59,186,328,37,6761,7155,206023,94764,716,27
47434686,598,1083,2633,529,52482,63845,1805340,319442,7615,187
47501114,33,27,33,43,2535,2855,102430,0,1379,5
47508363,139,420,721,94,13986,18386,570502,8484,3441,52
47976221,130,200,472,205,15919,18177,468610,47273,6267,40
48438789,57,152,194,80,6681,7116,212077,24644,2672,19
48510685,122,173,400,94,9445,11114,292903,7811,1404,31
48660805,32,17,46,31,2838,2504,79594,0,1417,5
48782900,217,605,1227,71,24139,27848,683938,56452,3073,92
49274352,474,211,465,741,27900,28971,1201806,15072,13627,48
49310752,8,39,71,15,1336,1312,28879,0,145,5
49317728,721,1448,3200,1461,84292,103691,2612666,390296,23537,266
49424504,171,379,786,194,17340,19607,553057,149925,3187,67
49491032,32,54,76,33,2769,3187,81987,428,668,10
49562484,83,190,394,43,7537,9547,247493,14754,1283,27
49863176,82,127,290,166,8206,9812,270554,13968,2626,22
50537994,61,61,145,28,3552,3954,217175,11717,1729,8
50580004,186,192,525,274,12045,14136,514436,52625,4414,30
50828662,1007,1710,3843,733,99933,111068,3196039,437056,24540,321
51087337,28,70,101,66,2576,2902,111508,0,704,9
51139733,236,223,327,487,13875,15426,612223,6035,5736,28
51291809,222,154,442,325,19513,20260,591819,3399,6771,39
51312524,226,124,380,692,15890,15892,683159,21420,7786,33
51599379,49,41,51,59,3076,3420,120614,176,997,8
51684352,427,255,543,1357,32627,35361,1091504,22454,15098,64
51747431,415,196,664,603,24857,27322,1019031,21560,8992,52
51775783,131,186,754,150,14428,17737,421679,43496,2079,49
51836201,52,123,284,25,6029,6743,163107,38266,976,23
51924304,122,82,171,113,6733,7219,277681,5647,2433,15
52069403,30,29,67,52,2533,2972,92752,3973,920,5
52191022,290,465,877,69,21736,22126,742443,59432,3357,70
52309044,265,349,625,603,21644,24007,808129,29390,7650,53
52341014,46,75,142,25,3766,3771,147842,23773,1165,12
52406002,144,57,181,339,10952,11295,389348,16589,4726,19
52781082,114,339,536,84,9636,12151,437421,46665,2008,37
53178236,1227,700,1984,1802,99980,101736,3407989,184947,48378,184
53642654,20,24,30,48,2610,2410,96839,0,1419,5
53722536,154,119,236,208,11680,12696,365072,3657,4713,28
53740474,114,115,415,171,9076,11359,354042,3759,2915,25
53908693,64,19,75,110,3800,3804,185059,4580,2246,7
54273357,193,89,178,102,7500,9016,499535,1398,3775,17
54323390,42,14,32,76,2519,2874,108024,0,1137,5
54385737,21,58,77,8,2215,2544,80848,267,452,6
54580962,510,1116,2433,392,49326,61021,1929416,154203,11879,177
54986290,49,105,235,16,4268,4654,141076,12037,784,14
55244753,22,37,119,8,2453,2798,75326,12089,515,7
55584590,196,197,400,164,10670,12315,469297,24394,3343,26
55598693,23,106,145,31,3879,4594,112723,10492,700,16
55649904,585,268,575,721,33738,35373,1448557,39956,16596,59
55693207,38,49,149,4,1587,2277,79818,0,333,5
55773698,68,55,100,150,5071,5518,124859,1586,1804,12
55969640,230,227,704,271,20124,22816,764563,77299,9603,50
55974918,73,74,124,147,5436,5801,193453,808,2059,12
56029361,22,61,94,11,2443,2953,65530,4085,489,9
56351509,131,43,151,319,9497,9755,349176,769,4917,16
56635994,47,60,52,58,4039,4217,135418,1492,1944,9
56734525,31,53,101,24,2608,2603,87380,14609,1062,7
56771860,156,67,168,251,9314,9469,423254,864,4938,16
56914487,106,61,183,152,6968,7472,278649,0,3923,14
56937182,50,87,137,24,2733,3518,113886,7180,255,11
56939869,610,306,772,872,40693,39021,1552598,44962,17749,78
57274050,57,40,92,102,4713,5294,152376,412,2081,10
57516313,1014,2025,4474,701,84644,108482,3184126,196214,12061,321
57569220,49,87,216,58,5366,6362,165419,5431,1357,21
57573803,22,24,80,10,1451,1944,40278,17184,202,5
57578110,184,346,685,149,12189,15653,526535,95298,1507,46
57633177,151,154,300,316,11367,12885,537203,18431,5837,28
58287493,53,33,80,107,3847,3922,157467,1100,1403,8
