k;seed;metric;min_size;max_size;outliers;threshold;elite_size
10;-1;variance;3;9;0;0.750000;10
All solutions found
Solution;Evaluation;Feasible;Num. of Attr.;Restrictions Violated
deaths,denies,gpm,hd,kills,lh;-2.525502;0;6;12
assists,deaths,denies,gpm,hh,kills,lh,xpm;-2.525628;0;8;12
assists,deaths,denies,gpm,hd,hh,kills,xpm;-2.526082;0;8;12
gpm,hd,hh,kills,xpm;-2.526423;0;5;12
assists,deaths,denies,gpm,hd,kills,lh;-2.526474;0;7;12
assists,denies,hd,kills,lh,xpm;-2.526507;0;6;12
deaths,denies,hd,kills,lh,xpm;-2.526527;0;6;12
assists,gpm,hd,hh,lh,xpm;-2.526543;0;6;12
deaths,gpm,hd,hh,lh,xpm;-2.526563;0;6;12
denies,gpm,kills,lh,xpm;-2.526760;0;5;12
assists,deaths,denies,hd,kills,lh,xpm;-2.527352;0;7;12
assists,deaths,gpm,hd,hh,lh,xpm;-2.527384;0;7;12
assists,gpm,hd,hh,kills,xpm;-2.527404;0;6;12
deaths,gpm,hd,hh,kills,xpm;-2.527424;0;6;12
denies,gpm,hd,kills,xpm;-2.527487;0;5;12
assists,denies,gpm,kills,lh,xpm;-2.527684;0;6;12
deaths,denies,gpm,kills,lh,xpm;-2.527704;0;6;12
assists,deaths,gpm,hd,hh,kills,xpm;-2.528121;0;7;12
assists,denies,gpm,hd,kills,xpm;-2.528290;0;6;12
deaths,denies,gpm,hd,kills,xpm;-2.528310;0;6;12
assists,deaths,denies,gpm,kills,lh,xpm;-2.528362;0;7;12
assists,deaths,denies,gpm,hd,kills,xpm;-2.528881;0;7;12
gpm,hd,lh,xpm;-2.530115;0;4;12
assists,gpm,hd,lh,xpm;-2.530553;0;5;12
deaths,gpm,hd,lh,xpm;-2.530577;0;5;12
assists,deaths,gpm,hd,lh,xpm;-2.530865;0;6;12
gpm,hd,kills,xpm;-2.531406;0;4;12
assists,gpm,hd,kills,xpm;-2.531586;0;5;12
deaths,gpm,hd,kills,xpm;-2.531610;0;5;12
assists,deaths,gpm,hd,kills,xpm;-2.531726;0;6;12
denies,gpm,hd,hh,lh,xpm;-2.666229;0;6;14
assists,denies,gpm,hd,hh,lh,xpm;-2.667540;0;7;14
deaths,denies,gpm,hd,hh,lh,xpm;-2.667557;0;7;14
assists,deaths,denies,gpm,hd,hh,lh,xpm;-2.668538;0;8;14
denies,gpm,hd,lh,xpm;-2.669556;0;5;14
assists,denies,gpm,hd,lh,xpm;-2.670531;0;6;14
deaths,denies,gpm,hd,lh,xpm;-2.670551;0;6;14
assists,deaths,denies,gpm,hd,lh,xpm;-2.671244;0;7;14
gpm,hd,hh,kills,lh,xpm;-2.905229;0;6;18
assists,gpm,hd,hh,kills,lh,xpm;-2.906167;0;7;18
deaths,gpm,hd,hh,kills,lh,xpm;-2.906184;0;7;18
assists,deaths,gpm,hd,hh,kills,lh,xpm;-2.906885;0;8;18
gpm,hd,kills,lh,xpm;-2.909078;0;5;18
assists,gpm,hd,kills,lh,xpm;-2.909531;0;6;18
deaths,gpm,hd,kills,lh,xpm;-2.909551;0;6;18
assists,deaths,gpm,hd,kills,lh,xpm;-2.909872;0;7;18
denies,gpm,hd,hh,kills,lh,xpm;-3.003323;0;7;20
assists,denies,gpm,hd,hh,kills,lh,xpm;-3.004392;0;8;20
deaths,denies,gpm,hd,hh,kills,lh,xpm;-3.004407;0;8;20
assists,deaths,denies,gpm,hd,hh,kills,lh,xpm;-3.005237;0;9;20
denies,gpm,hd,kills,lh,xpm;-3.006199;0;6;20
assists,denies,gpm,hd,kills,lh,xpm;-3.007010;0;7;20
deaths,denies,gpm,hd,kills,lh,xpm;-3.007027;0;7;20
assists,deaths,denies,gpm,hd,kills,lh,xpm;-3.007634;0;8;20
hh;-3.032586;0;1;21
denies,hh;-3.035245;0;2;21
denies;-3.037905;0;1;21
hh,lh;-3.040499;0;2;21
hd,hh;-3.042316;0;2;21
hh,kills;-3.043080;0;2;21
denies,lh;-3.043159;0;2;21
denies,hd;-3.044976;0;2;21
assists,hh;-3.045492;0;2;21
deaths,hh;-3.045552;0;2;21
denies,kills;-3.045740;0;2;21
gpm,hh;-3.045850;0;2;21
assists,denies;-3.048152;0;2;21
deaths,denies;-3.048212;0;2;21
lh;-3.048412;0;1;21
denies,gpm;-3.048509;0;2;21
hh,xpm;-3.048923;0;2;21
hd,lh;-3.050230;0;2;21
kills,lh;-3.050993;0;2;21
denies,xpm;-3.051583;0;2;21
hd;-3.052047;0;1;21
hd,kills;-3.052811;0;2;21
assists,lh;-3.053405;0;2;21
deaths,lh;-3.053465;0;2;21
kills;-3.053574;0;1;21
gpm,lh;-3.053763;0;2;21
assists,hd;-3.055223;0;2;21
deaths,hd;-3.055283;0;2;21
gpm,hd;-3.055580;0;2;21
assists,kills;-3.055986;0;2;21
deaths,kills;-3.056047;0;2;21
gpm,kills;-3.056344;0;2;21
lh,xpm;-3.056837;0;2;21
assists;-3.058398;0;1;21
